time,name,status
0.0,hexokinase_or_glucokinase,triggered
0.0,pgm_G6P_to_G1P,triggered
0.0,udpGlucoseSynthesis,triggered
0.0,glycogenSynthaseStep,stopped
0.0,branchingEnzymeStep,triggered
0.0,glycogenPhosphorylaseStep,stopped
0.0,debranchingEnzymeStep,triggered
0.0,g1p_to_g6p,stopped
0.0,pepck_OAA_to_PEP,triggered
0.0,g6pase_G6P_to_Glucose,stopped
0.0,glycolysis_middle_steps,triggered
0.0,pyruvateKinase_step,stopped
0.0,fattyAcidSynthesis,stopped
0.0,betaOxidation,stopped
0.0,deNovoLipogenesis,triggered
0.0,lipidTransport,stopped
0.0,adiposeLipolysis,stopped
0.0,aminoAcidCatabolism,triggered
0.0,aminoAcidSynthesisTransport,triggered
0.0,oxidativePhosphorylation,triggered
0.0,ketogenesis,stopped
0.0,cps1_Ammonia_to_CarbamoylPhosphate,stopped
0.0,otc_CarbamoylPhosphate_to_Citrulline,stopped
0.0,ass1_Citrulline_to_ASP_Argininosuccinate,stopped
0.0,asl_Argininosuccinate_to_Arginine_Fumarate,stopped
0.0,arg1_Arginine_to_Urea_Ornithine,stopped
0.0,phaseI_OxRed,stopped
0.0,phaseII_Conjugation,stopped
0.0,bilirubinUGT,triggered
0.0,ethanol_ADH,stopped
0.0,acetaldehyde_ALDH,stopped
0.0,acetate_to_acetylcoa,stopped
0.0,bileAcidSynthesis,triggered
0.0,plasmaProteinSynthesis,triggered
0.0,coagulationFactorSynthesis,triggered
0.0,cytosolicATPase_load,triggered
0.016666666666666666,cps1_Ammonia_to_CarbamoylPhosphate,triggered
0.03333333333333333,otc_CarbamoylPhosphate_to_Citrulline,triggered
0.06666666666666667,ass1_Citrulline_to_ASP_Argininosuccinate,triggered
0.1,aminoAcidCatabolism,stopped
0.1,asl_Argininosuccinate_to_Arginine_Fumarate,triggered
0.1,arg1_Arginine_to_Urea_Ornithine,triggered
0.11666666666666667,cps1_Ammonia_to_CarbamoylPhosphate,stopped
0.23333333333333334,bilirubinUGT,stopped
0.2833333333333333,aminoAcidSynthesisTransport,stopped
0.2833333333333333,plasmaProteinSynthesis,stopped
0.2833333333333333,coagulationFactorSynthesis,stopped
0.36666666666666664,ass1_Citrulline_to_ASP_Argininosuccinate,stopped
0.45,asl_Argininosuccinate_to_Arginine_Fumarate,stopped
0.45,arg1_Arginine_to_Urea_Ornithine,stopped
5.233333333333333,bileAcidSynthesis,stopped
